DMM IHigh (mA)	DMM IHigh (mA)_stddev	TWIST Duty Cycle	TWIST Duty Cycle_stddev	TWIST VHigh (mV)	TWIST VHigh (mV)_stddev	TWIST VLow1 (mV)	TWIST VLow1 (mV)_stddev	TWIST VLow2 (mV)	TWIST VLow2 (mV)_stddev	TWIST IHigh (mA)	TWIST IHigh (mA)_stddev	TWIST ILow1 (mA)	TWIST ILow1 (mA)_stddev	TWIST ILow2 (mA)	TWIST ILow2 (mA)_stddev	IHigh absolute error (mA)	IHigh absolute error -3*std dev(mA)	IHigh absolute error +3*std dev(mA)	IHigh relative error (%)	IHigh -3*std dev relative error (%)	IHigh +3*std dev relative error (%)
161.0	0.0	50.0	0.0	47981.0	68.0	25578.0	23.0	-90855.5	22.5	324.5	11.5	165.0	13.0	95.0	14.0	-164.0	-198.0	-130.0	-101.9	-123.0	-80.7
295.0	0.0	50.0	0.0	47606.5	102.5	25276.5	46.5	-90900.5	22.5	464.5	37.5	446.5	21.5	148.5	11.5	-170.0	-282.0	-58.0	-57.6	-95.6	-19.7
428.0	0.0	50.0	0.0	47879.0	102.0	25114.0	23.0	-90878.0	45.0	616.5	11.5	806.0	16.0	90.0	9.0	-188.0	-222.0	-154.0	-43.9	-51.9	-36.0
561.0	0.0	50.0	0.0	48015.0	34.0	24812.5	46.5	-90900.5	22.5	762.5	8.5	1092.5	29.5	94.5	18.5	-202.0	-228.0	-176.0	-36.0	-40.6	-31.4
691.0	0.0	50.0	0.0	48117.5	136.5	24813.0	139.0	-90923.0	0.0	902.5	34.5	1414.0	35.0	87.5	2.5	-212.0	-316.0	-108.0	-30.7	-45.7	-15.6
823.0	0.0	50.0	0.0	48083.5	102.5	24836.0	23.0	-90855.5	22.5	1072.0	3.0	1776.0	11.0	106.5	48.5	-249.0	-258.0	-240.0	-30.3	-31.3	-29.2
954.0	0.0	50.0	0.0	47709.0	0.0	24650.5	69.5	-90878.0	0.0	1198.0	20.0	1988.0	8.0	97.5	39.5	-244.0	-304.0	-184.0	-25.6	-31.9	-19.3
1085.0	0.0	50.0	0.0	47777.0	0.0	24558.0	162.0	-90833.0	0.0	1344.0	17.0	2360.0	0.0	120.0	35.0	-259.0	-310.0	-208.0	-23.9	-28.6	-19.2
1216.0	0.0	50.0	0.0	47675.0	102.0	24627.0	0.0	-90878.0	0.0	1495.5	14.5	2598.5	29.5	115.5	16.5	-280.0	-324.0	-236.0	-23.0	-26.6	-19.4
1346.0	0.0	50.0	0.0	47708.5	272.5	24534.5	46.5	-90878.0	0.0	1618.5	17.5	2928.5	42.5	80.5	18.5	-272.0	-324.0	-220.0	-20.2	-24.1	-16.3
1477.0	0.0	50.0	0.0	47607.0	34.0	24535.0	0.0	-90878.0	0.0	1779.0	17.0	3151.5	29.5	90.0	28.0	-302.0	-353.0	-251.0	-20.4	-23.9	-17.0
1607.0	0.0	50.0	0.0	47879.0	102.0	24488.5	92.5	-90878.0	0.0	1908.0	20.0	3467.5	18.5	99.5	23.5	-301.0	-361.0	-241.0	-18.7	-22.5	-15.0
1739.0	0.0	50.0	0.0	47572.5	136.5	24419.0	116.0	-90900.5	22.5	2022.5	8.5	3821.0	19.0	99.5	37.5	-284.0	-310.0	-258.0	-16.3	-17.8	-14.8
1869.0	0.0	50.0	0.0	47811.0	102.0	24488.5	46.5	-90855.5	22.5	2217.0	3.0	4113.5	10.5	87.5	16.5	-348.0	-357.0	-339.0	-18.6	-19.1	-18.1
2000.0	0.0	50.0	0.0	47743.0	34.0	24396.0	0.0	-90900.5	22.5	2317.5	5.5	4370.5	48.5	59.5	25.5	-318.0	-334.0	-302.0	-15.9	-16.7	-15.1
2130.0	0.0	50.0	0.0	47675.0	34.0	24349.5	46.5	-90855.5	22.5	2497.5	8.5	4628.0	5.0	127.5	37.5	-368.0	-394.0	-342.0	-17.3	-18.5	-16.1
2260.0	0.0	50.0	0.0	47947.0	102.0	24256.5	92.5	-90900.5	22.5	2638.0	6.0	5025.0	0.0	60.0	30.0	-378.0	-396.0	-360.0	-16.7	-17.5	-15.9
2391.0	0.0	50.0	0.0	47402.0	34.0	24395.5	46.5	-90833.0	0.0	2784.0	20.0	5269.0	8.0	78.5	48.5	-393.0	-453.0	-333.0	-16.4	-18.9	-13.9
2521.0	0.0	50.0	0.0	47743.0	170.0	24395.5	46.5	-90923.0	0.0	2910.0	26.0	5531.0	8.0	32.0	16.0	-389.0	-467.0	-311.0	-15.4	-18.5	-12.3
2652.0	0.0	50.0	0.0	47504.5	272.5	24326.0	23.0	-90855.5	22.5	3076.0	14.0	5885.0	8.0	39.0	23.0	-424.0	-466.0	-382.0	-16.0	-17.6	-14.4
