DMM ILow (mA)	TWIST Duty Cycle	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)
102	50.0	47845.0	25508.0	-90878.0	364.0	205.0	127.0
102	50.0	47981.0	25647.0	-90878.0	336.0	291.0	58.0
360	50.0	47981.0	25462.0	-90878.0	496.0	521.0	179.0
360	50.0	47641.0	25276.0	-90878.0	485.0	500.0	165.0
619	50.0	47641.0	25091.0	-90878.0	599.0	838.0	76.0
619	50.0	48186.0	25045.0	-90878.0	611.0	747.0	146.0
878	50.0	47641.0	24859.0	-90923.0	794.0	1111.0	109.0
878	50.0	47845.0	24952.0	-90878.0	748.0	1047.0	151.0
1136	50.0	47573.0	24813.0	-90878.0	943.0	1406.0	137.0
1136	50.0	47641.0	24859.0	-90878.0	943.0	1363.0	118.0
1395	50.0	47845.0	24859.0	-90923.0	1052.0	1728.0	151.0
1395	50.0	48117.0	24674.0	-90878.0	1057.0	1679.0	118.0
1654	50.0	47981.0	24581.0	-90833.0	1155.0	2039.0	132.0
1654	50.0	47709.0	24766.0	-90923.0	1212.0	1937.0	151.0
1912	50.0	47368.0	24535.0	-90923.0	1281.0	2392.0	95.0
1912	50.0	47777.0	24535.0	-90923.0	1384.0	2275.0	262.0
2171	50.0	47777.0	24488.0	-90878.0	1464.0	2585.0	160.0
2171	50.0	47504.0	24535.0	-90878.0	1453.0	2548.0	44.0
2429	50.0	47641.0	24627.0	-90923.0	1647.0	2939.0	67.0
2429	50.0	47641.0	24535.0	-90878.0	1619.0	2816.0	99.0
2689	50.0	48117.0	24535.0	-90833.0	1785.0	3207.0	71.0
2689	50.0	47845.0	24442.0	-90923.0	1779.0	3175.0	30.0
2947	50.0	47709.0	24488.0	-90878.0	1939.0	3556.0	85.0
2947	50.0	47981.0	24535.0	-90923.0	1939.0	3529.0	137.0
3207	50.0	47845.0	24303.0	-90833.0	2088.0	3733.0	25.0
3207	50.0	47913.0	24627.0	-90878.0	2071.0	3749.0	123.0
3466	50.0	47777.0	24396.0	-90878.0	2180.0	4103.0	81.0
3466	50.0	47641.0	24488.0	-90878.0	2203.0	4119.0	99.0
3725	50.0	47913.0	24442.0	-90878.0	2335.0	4338.0	85.0
3725	50.0	47845.0	24488.0	-90833.0	2369.0	4489.0	53.0
3983	50.0	47709.0	24303.0	-90878.0	2506.0	4703.0	113.0
3983	50.0	47573.0	24488.0	-90878.0	2541.0	4601.0	99.0
4242	50.0	47777.0	24210.0	-90833.0	2655.0	5025.0	76.0
4242	50.0	47641.0	24164.0	-90878.0	2678.0	4987.0	71.0
4500	50.0	48049.0	24303.0	-90878.0	2764.0	5362.0	90.0
4501	50.0	47981.0	24396.0	-90878.0	2793.0	5244.0	109.0
4760	50.0	47573.0	24349.0	-90923.0	2913.0	5673.0	39.0
4760	50.0	47981.0	24349.0	-90923.0	2947.0	5566.0	76.0
5018	50.0	47913.0	24303.0	-90878.0	3045.0	5850.0	160.0
5019	50.0	47777.0	24396.0	-90923.0	3045.0	5882.0	109.0
