DMM ILow (mA)	DMM ILow (mA)_stddev	TWIST Duty Cycle	TWIST Duty Cycle_stddev	TWIST VHigh (mV)	TWIST VHigh (mV)_stddev	TWIST VLow1 (mV)	TWIST VLow1 (mV)_stddev	TWIST VLow2 (mV)	TWIST VLow2 (mV)_stddev	TWIST IHigh (mA)	TWIST IHigh (mA)_stddev	TWIST ILow1 (mA)	TWIST ILow1 (mA)_stddev	TWIST ILow2 (mA)	TWIST ILow2 (mA)_stddev	ILow1 absolute error (mA)	ILow1 absolute error -3*std dev(mA)	ILow1 absolute error +3*std dev(mA)	ILow1 relative error (%)	ILow1 -3*std dev relative error (%)	ILow1 +3*std dev relative error (%)
102.0	0.0	50.0	0.0	47913.0	68.0	25577.5	69.5	-90878.0	0.0	350.0	14.0	248.0	43.0	92.5	34.5	-146.0	-275.0	-17.0	-143.1	-269.6	-16.7
360.0	0.0	50.0	0.0	47811.0	170.0	25369.0	93.0	-90878.0	0.0	490.5	5.5	510.5	10.5	172.0	7.0	-150.0	-182.0	-118.0	-41.7	-50.6	-32.8
619.0	0.0	50.0	0.0	47913.5	272.5	25068.0	23.0	-90878.0	0.0	605.0	6.0	792.5	45.5	111.0	35.0	-174.0	-310.0	-38.0	-28.1	-50.1	-6.1
878.0	0.0	50.0	0.0	47743.0	102.0	24905.5	46.5	-90900.5	22.5	771.0	23.0	1079.0	32.0	130.0	21.0	-201.0	-297.0	-105.0	-22.9	-33.8	-12.0
1136.0	0.0	50.0	0.0	47607.0	34.0	24836.0	23.0	-90878.0	0.0	943.0	0.0	1384.5	21.5	127.5	9.5	-248.0	-312.0	-184.0	-21.8	-27.5	-16.2
1395.0	0.0	50.0	0.0	47981.0	136.0	24766.5	92.5	-90900.5	22.5	1054.5	2.5	1703.5	24.5	134.5	16.5	-308.0	-382.0	-234.0	-22.1	-27.4	-16.8
1654.0	0.0	50.0	0.0	47845.0	136.0	24673.5	92.5	-90878.0	45.0	1183.5	28.5	1988.0	51.0	141.5	9.5	-334.0	-487.0	-181.0	-20.2	-29.4	-10.9
1912.0	0.0	50.0	0.0	47572.5	204.5	24535.0	0.0	-90923.0	0.0	1332.5	51.5	2333.5	58.5	178.5	83.5	-422.0	-598.0	-246.0	-22.1	-31.3	-12.9
2171.0	0.0	50.0	0.0	47640.5	136.5	24511.5	23.5	-90878.0	0.0	1458.5	5.5	2566.5	18.5	102.0	58.0	-396.0	-452.0	-340.0	-18.2	-20.8	-15.7
2429.0	0.0	50.0	0.0	47641.0	0.0	24581.0	46.0	-90900.5	22.5	1633.0	14.0	2877.5	61.5	83.0	16.0	-448.0	-632.0	-264.0	-18.4	-26.0	-10.9
2689.0	0.0	50.0	0.0	47981.0	136.0	24488.5	46.5	-90878.0	45.0	1782.0	3.0	3191.0	16.0	50.5	20.5	-502.0	-550.0	-454.0	-18.7	-20.5	-16.9
2947.0	0.0	50.0	0.0	47845.0	136.0	24511.5	23.5	-90900.5	22.5	1939.0	0.0	3542.5	13.5	111.0	26.0	-596.0	-636.0	-556.0	-20.2	-21.6	-18.9
3207.0	0.0	50.0	0.0	47879.0	34.0	24465.0	162.0	-90855.5	22.5	2079.5	8.5	3741.0	8.0	74.0	49.0	-534.0	-558.0	-510.0	-16.7	-17.4	-15.9
3466.0	0.0	50.0	0.0	47709.0	68.0	24442.0	46.0	-90878.0	0.0	2191.5	11.5	4111.0	8.0	90.0	9.0	-645.0	-669.0	-621.0	-18.6	-19.3	-17.9
3725.0	0.0	50.0	0.0	47879.0	34.0	24465.0	23.0	-90855.5	22.5	2352.0	17.0	4413.5	75.5	69.0	16.0	-688.0	-914.0	-462.0	-18.5	-24.5	-12.4
3983.0	0.0	50.0	0.0	47641.0	68.0	24395.5	92.5	-90878.0	0.0	2523.5	17.5	4652.0	51.0	106.0	7.0	-669.0	-822.0	-516.0	-16.8	-20.6	-13.0
4242.0	0.0	50.0	0.0	47709.0	68.0	24187.0	23.0	-90855.5	22.5	2666.5	11.5	5006.0	19.0	73.5	2.5	-764.0	-821.0	-707.0	-18.0	-19.4	-16.7
4500.5	0.5	50.0	0.0	48015.0	34.0	24349.5	46.5	-90878.0	0.0	2778.5	14.5	5303.0	59.0	99.5	9.5	-802.0	-979.0	-625.0	-17.8	-21.8	-13.9
4760.0	0.0	50.0	0.0	47777.0	204.0	24349.0	0.0	-90923.0	0.0	2930.0	17.0	5619.5	53.5	57.5	18.5	-860.0	-1020.0	-700.0	-18.1	-21.4	-14.7
5018.5	0.5	50.0	0.0	47845.0	68.0	24349.5	46.5	-90900.5	22.5	3045.0	0.0	5866.0	16.0	134.5	25.5	-848.0	-896.0	-800.0	-16.9	-17.9	-15.9
