DMM VHigh (mV)	TWIST Duty Cycle	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)
15046	50.0	14810.0	7567.0	-90878.0	994.0	1320.0	220.0
15046	50.0	15015.0	7567.0	-90878.0	931.0	1336.0	155.0
19038	50.0	18284.0	9514.0	-90878.0	960.0	1342.0	146.0
19039	50.0	18761.0	9607.0	-90833.0	908.0	1347.0	151.0
24061	50.0	23597.0	12203.0	-90878.0	868.0	1347.0	230.0
24062	50.0	23801.0	12249.0	-90878.0	857.0	1277.0	132.0
28041	50.0	27684.0	14289.0	-90878.0	880.0	1326.0	146.0
28041	50.0	28160.0	14243.0	-90833.0	834.0	1277.0	179.0
32045	50.0	31566.0	16283.0	-90833.0	840.0	1299.0	165.0
32045	50.0	31975.0	16515.0	-90923.0	908.0	1229.0	206.0
36045	50.0	35721.0	18323.0	-90833.0	845.0	1326.0	174.0
36045	50.0	35789.0	18415.0	-90833.0	880.0	1293.0	104.0
41048	50.0	41034.0	21150.0	-90878.0	863.0	1379.0	230.0
41048	50.0	40829.0	20965.0	-90878.0	845.0	1299.0	123.0
45062	50.0	44644.0	23329.0	-90923.0	817.0	1326.0	104.0
45062	50.0	44780.0	23144.0	-90833.0	828.0	1256.0	71.0
49035	50.0	49139.0	25184.0	-90878.0	794.0	1277.0	104.0
49035	50.0	48935.0	25184.0	-90878.0	794.0	1320.0	20.0
53051	50.0	52817.0	27363.0	-90878.0	840.0	1181.0	99.0
53051	50.0	53090.0	27409.0	-90923.0	811.0	1299.0	71.0
58045	50.0	58130.0	30144.0	-90878.0	874.0	1240.0	-22.0
58045	50.0	58130.0	30051.0	-90878.0	845.0	1181.0	85.0
62062	50.0	62353.0	31952.0	-90878.0	811.0	1170.0	99.0
62062	50.0	62421.0	32138.0	-90878.0	823.0	1192.0	104.0
66055	50.0	65827.0	34316.0	-90878.0	828.0	1277.0	67.0
66055	50.0	65895.0	34270.0	-90878.0	828.0	1229.0	-12.0
70035	50.0	69982.0	36403.0	-90878.0	863.0	1197.0	30.0
70035	50.0	69982.0	36310.0	-90878.0	834.0	1186.0	113.0
75054	50.0	74000.0	38767.0	-90878.0	811.0	1170.0	48.0
75054	50.0	75090.0	39091.0	-90923.0	845.0	1181.0	95.0
79049	50.0	78836.0	41038.0	-90878.0	868.0	1197.0	16.0
79049	50.0	79041.0	41224.0	-90878.0	863.0	1192.0	58.0
83063	50.0	83196.0	43310.0	-90878.0	828.0	1111.0	20.0
83064	50.0	82787.0	43264.0	-90923.0	857.0	1218.0	30.0
87058	50.0	87010.0	45303.0	-90878.0	794.0	1133.0	-96.0
87058	50.0	86874.0	45303.0	-90878.0	828.0	1036.0	-45.0
92040	50.0	91505.0	47760.0	-90923.0	868.0	1186.0	-91.0
92040	50.0	92050.0	48363.0	-90878.0	851.0	1138.0	-40.0
96051	50.0	95592.0	50171.0	-90878.0	880.0	1068.0	-22.0
96051	50.0	95660.0	50588.0	-90878.0	840.0	1009.0	-87.0
