DMM VLow (mV)	TWIST Duty Cycle	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)
10242	5.0	96954.0	10349.0	-90923.0	279.0	1406.0	239.0
10242	5.0	96750.0	10627.0	-90923.0	324.0	1540.0	318.0
10243	10.0	97227.0	10395.0	-90923.0	261.0	1417.0	253.0
10243	10.0	96886.0	10395.0	-90923.0	233.0	1454.0	248.0
14940	15.0	97023.0	15263.0	-90923.0	336.0	1352.0	360.0
14940	15.0	96886.0	15356.0	-90923.0	336.0	1358.0	309.0
19765	20.0	96682.0	20362.0	-90923.0	393.0	1385.0	253.0
19765	20.0	96818.0	20362.0	-90923.0	450.0	1342.0	244.0
24626	25.0	96682.0	25323.0	-90923.0	490.0	1326.0	239.0
24625	25.0	96886.0	25323.0	-90923.0	485.0	1390.0	146.0
29489	30.0	96886.0	30469.0	-90923.0	548.0	1385.0	179.0
29489	30.0	96478.0	30376.0	-90923.0	536.0	1224.0	151.0
34349	35.0	96614.0	35244.0	-90923.0	588.0	1315.0	62.0
34349	35.0	96341.0	35244.0	-90923.0	634.0	1326.0	53.0
39197	40.0	96614.0	40343.0	-90923.0	668.0	1202.0	62.0
39197	40.0	96410.0	40389.0	-90923.0	651.0	1283.0	146.0
44028	45.0	96341.0	45535.0	-90923.0	777.0	1117.0	25.0
44028	45.0	96341.0	45396.0	-90923.0	754.0	1149.0	20.0
48831	50.0	96069.0	50171.0	-90923.0	840.0	1149.0	-82.0
48831	50.0	96410.0	50403.0	-90923.0	840.0	1133.0	-54.0
53607	55.00000000000001	95865.0	55224.0	-90833.0	971.0	918.0	-77.0
53607	55.00000000000001	95865.0	55224.0	-90878.0	891.0	1015.0	-87.0
58361	60.0	95728.0	59999.0	-90923.0	1017.0	907.0	-203.0
58361	60.0	95524.0	60092.0	-90878.0	954.0	886.0	-184.0
63098	65.0	95728.0	64913.0	-90878.0	1012.0	902.0	-240.0
63098	65.0	95660.0	64960.0	-90833.0	1052.0	859.0	-264.0
67819	70.0	95388.0	70106.0	-90878.0	1097.0	725.0	-324.0
67819	70.0	95388.0	70059.0	-90833.0	1120.0	822.0	-427.0
72529	75.0	95728.0	74881.0	-90743.0	1223.0	639.0	-399.0
72529	75.0	95524.0	74834.0	-90833.0	1195.0	725.0	-361.0
77235	80.0	95524.0	79795.0	-90833.0	1218.0	554.0	-422.0
77236	80.0	95728.0	79748.0	-90788.0	1223.0	543.0	-431.0
