DMM VLow (mV)	DMM VLow (mV)_stddev	TWIST Duty Cycle	TWIST Duty Cycle_stddev	TWIST VHigh (mV)	TWIST VHigh (mV)_stddev	TWIST VLow1 (mV)	TWIST VLow1 (mV)_stddev	TWIST VLow2 (mV)	TWIST VLow2 (mV)_stddev	TWIST IHigh (mA)	TWIST IHigh (mA)_stddev	TWIST ILow1 (mA)	TWIST ILow1 (mA)_stddev	TWIST ILow2 (mA)	TWIST ILow2 (mA)_stddev	VLow1 absolute error (mV)	VLow1 absolute error -3*std dev(mV)	VLow1 absolute error +3*std dev(mV)	VLow1 relative error (%)	VLow1 -3*std dev relative error (%)	VLow1 +3*std dev relative error (%)
10242.0	0.0	5.0	0.0	96852.0	102.0	10488.0	139.0	-90923.0	0.0	301.5	22.5	1473.0	67.0	278.5	39.5	-246.0	-663.0	171.0	-2.4	-6.5	1.7
10243.0	0.0	10.0	0.0	97056.5	170.5	10395.0	0.0	-90923.0	0.0	247.0	14.0	1435.5	18.5	250.5	2.5	-152.0	-152.0	-152.0	-1.5	-1.5	-1.5
14940.0	0.0	15.0	0.0	96954.5	68.5	15309.5	46.5	-90923.0	0.0	336.0	0.0	1355.0	3.0	334.5	25.5	-370.0	-510.0	-230.0	-2.5	-3.4	-1.5
19765.0	0.0	20.0	0.0	96750.0	68.0	20362.0	0.0	-90923.0	0.0	421.5	28.5	1363.5	21.5	248.5	4.5	-597.0	-597.0	-597.0	-3.0	-3.0	-3.0
24625.5	0.5	25.0	0.0	96784.0	102.0	25323.0	0.0	-90923.0	0.0	487.5	2.5	1358.0	32.0	192.5	46.5	-698.0	-698.0	-698.0	-2.8	-2.8	-2.8
29489.0	0.0	30.0	0.0	96682.0	204.0	30422.5	46.5	-90923.0	0.0	542.0	6.0	1304.5	80.5	165.0	14.0	-934.0	-1074.0	-794.0	-3.2	-3.6	-2.7
34349.0	0.0	35.0	0.0	96477.5	136.5	35244.0	0.0	-90923.0	0.0	611.0	23.0	1320.5	5.5	57.5	4.5	-895.0	-895.0	-895.0	-2.6	-2.6	-2.6
39197.0	0.0	40.0	0.0	96512.0	102.0	40366.0	23.0	-90923.0	0.0	659.5	8.5	1242.5	40.5	104.0	42.0	-1169.0	-1238.0	-1100.0	-3.0	-3.2	-2.8
44028.0	0.0	45.0	0.0	96341.0	0.0	45465.5	69.5	-90923.0	0.0	765.5	11.5	1133.0	16.0	22.5	2.5	-1438.0	-1646.0	-1230.0	-3.3	-3.7	-2.8
48831.0	0.0	50.0	0.0	96239.5	170.5	50287.0	116.0	-90923.0	0.0	840.0	0.0	1141.0	8.0	-68.0	14.0	-1456.0	-1804.0	-1108.0	-3.0	-3.7	-2.3
53607.0	0.0	55.0	0.0	95865.0	0.0	55224.0	0.0	-90855.5	22.5	931.0	40.0	966.5	48.5	-82.0	5.0	-1617.0	-1617.0	-1617.0	-3.0	-3.0	-3.0
58361.0	0.0	60.0	0.0	95626.0	102.0	60045.5	46.5	-90900.5	22.5	985.5	31.5	896.5	10.5	-193.5	9.5	-1684.0	-1824.0	-1544.0	-2.9	-3.1	-2.6
63098.0	0.0	65.0	0.0	95694.0	34.0	64936.5	23.5	-90855.5	22.5	1032.0	20.0	880.5	21.5	-252.0	12.0	-1838.0	-1908.0	-1768.0	-2.9	-3.0	-2.8
67819.0	0.0	70.0	0.0	95388.0	0.0	70082.5	23.5	-90855.5	22.5	1108.5	11.5	773.5	48.5	-375.5	51.5	-2264.0	-2334.0	-2194.0	-3.3	-3.4	-3.2
72529.0	0.0	75.0	0.0	95626.0	102.0	74857.5	23.5	-90788.0	45.0	1209.0	14.0	682.0	43.0	-380.0	19.0	-2328.0	-2398.0	-2258.0	-3.2	-3.3	-3.1
77235.5	0.5	80.0	0.0	95626.0	102.0	79771.5	23.5	-90810.5	22.5	1220.5	2.5	548.5	5.5	-426.5	4.5	-2536.0	-2606.0	-2466.0	-3.3	-3.4	-3.2
