DMM IHigh (mA)	TWIST Duty Cycle	TWIST VHigh (quantum)	TWIST VLow1 (quantum)	TWIST VLow2 (quantum)	TWIST IHigh (quantum)	TWIST ILow1 (quantum)	TWIST ILow2 (quantum)
161.0	0.5	698.0	2587.0	2.0	2078.0	2118.0	2080.0
161.0	0.5	699.0	2591.0	2.0	2074.0	2117.0	2078.0
161.0	0.5	696.0	2592.0	2.0	2079.0	2108.0	2071.0
161.0	0.5	704.0	2593.0	2.0	2080.0	2111.0	2048.0
161.0	0.5	700.0	2589.0	1.0	2079.0	2140.0	2064.0
789.0	0.5	700.0	2574.0	1.0	2194.0	2372.0	2081.0
789.0	0.5	705.0	2569.0	1.0	2199.0	2378.0	2067.0
789.0	0.5	697.0	2571.0	1.0	2205.0	2369.0	2073.0
789.0	0.5	698.0	2569.0	0.0	2200.0	2370.0	2074.0
789.0	0.5	698.0	2573.0	1.0	2202.0	2370.0	2071.0
1411.0	0.5	698.0	2567.0	2.0	2313.0	2638.0	2068.0
1411.0	0.5	701.0	2571.0	2.0	2329.0	2639.0	2055.0
1411.0	0.5	698.0	2570.0	1.0	2320.0	2635.0	2070.0
1411.0	0.5	698.0	2569.0	1.0	2316.0	2647.0	2068.0
1411.0	0.5	697.0	2568.0	1.0	2316.0	2639.0	2069.0
2031.0	0.5	698.0	2570.0	2.0	2434.0	2916.0	2061.0
2031.0	0.5	696.0	2564.0	1.0	2438.0	2893.0	2069.0
2031.0	0.5	699.0	2567.0	2.0	2435.0	2909.0	2068.0
2031.0	0.5	699.0	2569.0	1.0	2445.0	2891.0	2076.0
2031.0	0.5	701.0	2569.0	0.0	2438.0	2915.0	2062.0
2650.0	0.5	695.0	2566.0	1.0	2561.0	3168.0	2058.0
2650.0	0.5	702.0	2566.0	1.0	2562.0	3186.0	2056.0
2650.0	0.5	697.0	2562.0	1.0	2556.0	3177.0	2075.0
2650.0	0.5	700.0	2566.0	1.0	2555.0	3164.0	2058.0
2650.0	0.5	703.0	2565.0	1.0	2555.0	3167.0	2050.0
