DMM ILow (mA)	TWIST Duty Cycle	TWIST VHigh (quantum)	TWIST VLow1 (quantum)	TWIST VLow2 (quantum)	TWIST IHigh (quantum)	TWIST ILow1 (quantum)	TWIST ILow2 (quantum)
102.0	0.5	699.0	2591.0	1.0	2074.0	2115.0	2084.0
102.0	0.5	701.0	2589.0	1.0	2075.0	2118.0	2067.0
102.0	0.5	704.0	2591.0	2.0	2079.0	2099.0	2087.0
102.0	0.5	698.0	2592.0	0.0	2089.0	2114.0	2075.0
102.0	0.5	700.0	2587.0	1.0	2078.0	2118.0	2078.0
1330.0	0.5	696.0	2575.0	1.0	2202.0	2366.0	2071.0
1330.0	0.5	702.0	2576.0	1.0	2200.0	2386.0	2067.0
1330.0	0.5	697.0	2573.0	1.0	2193.0	2358.0	2058.0
1330.0	0.5	704.0	2576.0	1.0	2198.0	2378.0	2071.0
1330.0	0.5	704.0	2573.0	1.0	2202.0	2369.0	2060.0
2559.0	0.5	697.0	2573.0	0.0	2315.0	2638.0	2070.0
2559.0	0.5	699.0	2569.0	1.0	2329.0	2636.0	2065.0
2559.0	0.5	698.0	2569.0	2.0	2326.0	2638.0	2065.0
2559.0	0.5	700.0	2571.0	1.0	2314.0	2645.0	2073.0
2559.0	0.5	699.0	2569.0	1.0	2310.0	2647.0	2072.0
3788.0	0.5	702.0	2567.0	1.0	2439.0	2906.0	2067.0
3789.0	0.5	699.0	2566.0	1.0	2439.0	2911.0	2058.0
3789.0	0.5	698.0	2568.0	1.0	2441.0	2918.0	2065.0
3789.0	0.5	700.0	2569.0	1.0	2444.0	2911.0	2071.0
3789.0	0.5	696.0	2568.0	2.0	2438.0	2926.0	2075.0
5018.0	0.5	699.0	2563.0	1.0	2563.0	3174.0	2079.0
5018.0	0.5	697.0	2566.0	0.0	2560.0	3169.0	2068.0
5018.0	0.5	698.0	2566.0	1.0	2565.0	3172.0	2062.0
5018.0	0.5	696.0	2561.0	1.0	2557.0	3176.0	2069.0
5018.0	0.5	697.0	2566.0	1.0	2557.0	3182.0	2064.0
