DMM VHigh (mV)	TWIST Duty Cycle	TWIST VHigh (quantum)	TWIST VLow1 (quantum)	TWIST VLow2 (quantum)	TWIST IHigh (quantum)	TWIST ILow1 (quantum)	TWIST ILow2 (quantum)
15046.0	0.5	216.0	2208.0	1.0	2190.0	2331.0	2103.0
15046.0	0.5	212.0	2203.0	1.0	2193.0	2331.0	2088.0
15046.0	0.5	211.0	2202.0	1.0	2203.0	2340.0	2095.0
15046.0	0.5	215.0	2203.0	1.0	2191.0	2341.0	2109.0
15046.0	0.5	213.0	2203.0	2.0	2203.0	2313.0	2091.0
35042.0	0.5	507.0	2431.0	1.0	2166.0	2328.0	2078.0
35042.0	0.5	504.0	2428.0	2.0	2174.0	2326.0	2079.0
35042.0	0.5	512.0	2424.0	1.0	2162.0	2330.0	2074.0
35042.0	0.5	507.0	2430.0	1.0	2167.0	2311.0	2075.0
35042.0	0.5	507.0	2429.0	1.0	2167.0	2331.0	2073.0
56049.0	0.5	816.0	2665.0	0.0	2166.0	2301.0	2068.0
56049.0	0.5	814.0	2663.0	1.0	2168.0	2298.0	2072.0
56049.0	0.5	818.0	2662.0	1.0	2164.0	2302.0	2061.0
56049.0	0.5	816.0	2663.0	1.0	2171.0	2314.0	2078.0
56049.0	0.5	817.0	2661.0	1.0	2168.0	2323.0	2062.0
76054.0	0.5	1083.0	2873.0	1.0	2195.0	2275.0	2068.0
76054.0	0.5	1108.0	2892.0	1.0	2166.0	2290.0	2025.0
76054.0	0.5	1107.0	2899.0	1.0	2169.0	2287.0	2043.0
76054.0	0.5	1111.0	2898.0	1.0	2171.0	2286.0	2052.0
76054.0	0.5	1116.0	2892.0	1.0	2160.0	2289.0	2042.0
96051.0	0.5	1403.0	3121.0	1.0	2183.0	2267.0	2036.0
96051.0	0.5	1406.0	3122.0	0.0	2167.0	2252.0	2034.0
96051.0	0.5	1405.0	3127.0	1.0	2172.0	2277.0	2037.0
96051.0	0.5	1406.0	3124.0	1.0	2176.0	2282.0	2044.0
96051.0	0.5	1406.0	3126.0	0.0	2176.0	2286.0	2032.0
