DMM VLow (mV)	TWIST Duty Cycle	TWIST VHigh (quantum)	TWIST VLow1 (quantum)	TWIST VLow2 (quantum)	TWIST IHigh (quantum)	TWIST ILow1 (quantum)	TWIST ILow2 (quantum)
10240.0	0.05	1427.0	2265.0	0.0	2076.0	2347.0	2131.0
10240.0	0.05	1421.0	2262.0	0.0	2074.0	2340.0	2122.0
10240.0	0.05	1426.0	2264.0	0.0	2077.0	2351.0	2123.0
10240.0	0.05	1424.0	2265.0	0.0	2075.0	2343.0	2120.0
10240.0	0.05	1427.0	2266.0	1.0	2080.0	2340.0	2122.0
10241.0	0.1	1424.0	2266.0	0.0	2077.0	2322.0	2087.0
10241.0	0.1	1423.0	2267.0	0.0	2074.0	2346.0	2127.0
10241.0	0.1	1423.0	2267.0	0.0	2068.0	2345.0	2116.0
10241.0	0.1	1419.0	2264.0	0.0	2074.0	2337.0	2102.0
10241.0	0.1	1425.0	2266.0	0.0	2071.0	2314.0	2117.0
14939.0	0.15	1422.0	2371.0	0.0	2088.0	2348.0	2112.0
14938.0	0.15	1422.0	2369.0	0.0	2085.0	2339.0	2098.0
14938.0	0.15	1418.0	2368.0	0.0	2084.0	2330.0	2096.0
14938.0	0.15	1423.0	2372.0	0.0	2080.0	2343.0	2100.0
14938.0	0.15	1423.0	2370.0	0.0	2087.0	2331.0	2098.0
19764.0	0.2	1418.0	2480.0	0.0	2097.0	2322.0	2109.0
19764.0	0.2	1416.0	2476.0	1.0	2099.0	2338.0	2113.0
19765.0	0.2	1418.0	2480.0	0.0	2097.0	2336.0	2111.0
19765.0	0.2	1424.0	2480.0	0.0	2099.0	2326.0	2103.0
19765.0	0.2	1418.0	2480.0	0.0	2091.0	2330.0	2105.0
24627.0	0.25	1421.0	2585.0	0.0	2112.0	2331.0	2084.0
24627.0	0.25	1421.0	2583.0	0.0	2110.0	2329.0	2095.0
24627.0	0.25	1415.0	2587.0	0.0	2112.0	2327.0	2093.0
24627.0	0.25	1420.0	2585.0	0.0	2112.0	2315.0	2086.0
24627.0	0.25	1417.0	2582.0	0.0	2110.0	2323.0	2097.0
29491.0	0.3	1417.0	2697.0	0.0	2123.0	2332.0	2091.0
29491.0	0.3	1413.0	2691.0	0.0	2130.0	2312.0	2088.0
29491.0	0.3	1407.0	2691.0	0.0	2120.0	2310.0	2073.0
29492.0	0.3	1417.0	2690.0	0.0	2114.0	2334.0	2084.0
29492.0	0.3	1414.0	2695.0	0.0	2122.0	2325.0	2096.0
