Duty cycle (%)	Duty cycle (%)_stddev	DMM VHigh (mV)	DMM VHigh (mV)_stddev	DMM IHigh (mA)	DMM IHigh (mA)_stddev	DMM VLow (mV)	DMM VLow (mV)_stddev	DMM ILow (mA)	DMM ILow (mA)_stddev	DMM POWER High (W)	DMM POWER High (W)_stddev	DMM POWER Low (W)	DMM POWER Low (W)_stddev	DMM Efficiency (%)	DMM Efficiency (%)_stddev	TWIST Duty Cycle (%)	TWIST Duty Cycle (%)_stddev	TWIST VHigh (mV)	TWIST VHigh (mV)_stddev	TWIST VLow1 (mV)	TWIST VLow1 (mV)_stddev	TWIST VLow2 (mV)	TWIST VLow2 (mV)_stddev	TWIST IHigh (mA)	TWIST IHigh (mA)_stddev	TWIST ILow1 (mA)	TWIST ILow1 (mA)_stddev	TWIST ILow2 (mA)	TWIST ILow2 (mA)_stddev	TWIST Power High (W)	TWIST Power High (W)_stddev	TWIST Power Leg 1 (W)	TWIST Power Leg 1 (W)_stddev	TWIST Power Leg 2 (W)	TWIST Power Leg 2 (W)_stddev	TWIST Efficiency Leg 1 (%)	TWIST Efficiency Leg 1 (%)_stddev	TWIST Efficiency Leg 2 (%)	TWIST Efficiency Leg 2 (%)_stddev	Power High Absolute error (W)	Power High Absolute error (W)_stddev	Power Low1 Absolute error (W)	Power Low1 Absolute error (W)_stddev	Power Low2 Absolute error (W)	Power Low2 Absolute error (W)_stddev	Power High relative error (%)	Power High relative error (%)_stddev	Power Low1 relative error (%)	Power Low1 relative error (%)_stddev	Power Low2 relative error (%)	Power Low2 relative error (%)_stddev	Efficiency Absolute error leg 1 (%)	Efficiency Absolute error leg 1 (%)_stddev	Efficiency Absolute error leg 2 (%)	Efficiency Absolute error leg 2 (%)_stddev	Efficiency Relative error leg 1 (%)	Efficiency Relative error leg 1 (%)_stddev	Efficiency Relative error leg 2 (%)	Efficiency Relative error leg 2 (%)_stddev
5.0	0.0	30041.0	0.0	219.0	0.0	3298.0	0.0	503.0	0.0	6.6	0.0	1.7	0.0	25.8	0.0	5.0	0.0	30237.5	170.5	3116.5	46.5	-90833.0	0.0	356.0	14.0	910.5	45.5	290.0	14.0	10.8	0.5	2.85	0.15	-26.35	1.25	26.35	0.15	-243.95	0.25	-4.2	0.5	-1.2	0.15	28.0	1.25	-64.0	7.5	-71.0	8.5	1647.0	74.0	0.55	0.15	-269.75	0.25	0.0	0.0	-10.45	0.05
10.0	0.0	30040.0	0.0	219.0	0.0	3298.0	0.0	503.0	0.0	6.6	0.0	1.7	0.0	25.8	0.0	10.0	0.0	30272.0	68.0	3209.5	92.5	-90900.5	22.5	344.5	8.5	937.0	19.0	308.5	18.5	10.45	0.25	3.05	0.15	-28.05	1.65	29.15	0.75	-268.2	9.4	-3.8	0.25	-1.3	0.15	29.8	1.65	-58.0	3.5	-76.0	8.5	1753.0	97.0	3.35	0.75	-294.0	9.4	0.15	0.05	-11.4	0.4
15.0	0.0	30040.0	0.0	242.0	0.0	4769.0	0.0	503.0	0.0	7.3	0.0	2.4	0.0	32.9	0.0	15.0	0.0	30340.0	68.0	4762.5	69.5	-90855.5	22.5	387.5	45.5	848.5	58.5	315.5	25.5	11.75	1.35	4.05	0.35	-28.65	2.35	35.25	7.05	-244.75	8.15	-4.4	1.35	-1.6	0.35	31.0	2.35	-60.0	18.5	-67.0	14.5	1292.0	98.0	2.35	7.05	-277.65	8.15	0.1	0.2	-8.45	0.25
5.0	0.0	30039.0	0.0	328.0	0.0	3009.0	0.0	1506.0	0.0	9.9	0.0	4.5	0.0	45.5	0.0	5.0	0.0	30067.5	136.5	3325.5	69.5	-90855.5	22.5	350.0	3.0	939.5	5.5	327.5	27.5	10.55	0.05	3.1	0.1	-29.75	2.45	29.4	0.8	-281.9	21.9	-0.7	0.05	1.4	0.1	34.2	2.45	-7.0	0.5	31.0	2.0	760.0	54.5	-16.1	0.8	-327.4	21.9	-0.35	0.05	-7.2	0.5
10.0	0.0	30039.0	0.0	328.0	0.0	3009.0	0.0	1506.0	0.0	9.9	0.0	4.5	0.0	45.5	0.0	10.0	0.0	30237.5	170.5	3047.0	116.0	-90900.5	22.5	456.5	11.5	2052.0	51.0	271.5	60.5	13.8	0.4	6.25	0.05	-24.7	5.5	45.35	1.65	-180.3	45.1	-3.9	0.4	-1.8	0.05	29.2	5.5	-39.0	4.0	-40.0	1.0	649.0	122.0	-0.15	1.65	-225.8	45.1	0.0	0.0	-5.0	1.0
15.0	0.0	30038.0	0.0	400.5	0.5	4500.0	0.0	1506.0	0.0	12.0	0.0	6.8	0.0	56.7	0.0	15.0	0.0	30033.5	102.5	4531.0	23.0	-90900.5	22.5	527.5	31.5	2006.5	10.5	260.0	7.0	15.8	1.0	9.1	0.1	-23.65	0.65	57.9	4.3	-150.55	13.65	-3.8	1.0	-2.3	0.1	30.4	0.65	-32.0	8.5	-34.0	1.5	447.0	9.5	1.2	4.3	-207.25	13.65	0.0	0.1	-3.65	0.25
5.0	0.0	30038.0	0.0	435.0	0.0	2866.0	0.0	2509.5	0.5	13.1	0.0	7.2	0.0	55.0	0.0	5.0	0.0	30067.0	0.0	2931.5	92.5	-90878.0	0.0	476.0	43.0	2035.5	29.5	295.0	23.0	14.3	1.3	5.95	0.25	-26.8	2.1	42.1	5.6	-190.3	32.0	-1.2	1.3	1.2	0.25	34.0	2.1	-9.0	10.0	17.0	3.5	472.0	29.0	-12.9	5.6	-245.3	32.0	-0.2	0.1	-4.45	0.55
10.0	0.0	30038.0	0.0	435.0	0.0	2866.5	0.5	2509.0	0.0	13.1	0.0	7.2	0.0	55.0	0.0	10.0	0.0	30238.0	102.0	2931.0	0.0	-90855.5	22.5	582.0	6.0	3193.5	29.5	201.5	9.5	17.6	0.1	9.35	0.05	-18.3	0.9	53.1	0.6	-104.0	5.7	-4.5	0.1	-2.1	0.05	25.5	0.9	-34.0	0.5	-29.0	1.0	354.0	12.5	-1.9	0.6	-159.0	5.7	0.0	0.0	-2.9	0.1
15.0	0.0	30038.0	0.0	558.0	0.0	4361.0	0.0	2510.0	0.0	16.8	0.0	10.9	0.0	64.9	0.0	15.0	0.0	30306.0	102.0	4484.5	23.5	-90923.0	0.0	722.5	2.5	3151.0	3.0	234.5	18.5	21.9	0.0	14.1	0.1	-21.3	1.7	64.35	0.45	-97.25	7.75	-5.1	0.0	-3.2	0.1	32.2	1.7	-30.0	0.0	-29.0	1.0	295.0	15.5	-0.55	0.45	-162.15	7.75	0.0	0.0	-2.5	0.1
5.0	0.0	30038.0	0.0	541.0	0.0	2755.0	0.0	3513.0	0.0	16.3	0.0	9.7	0.0	59.5	0.0	5.0	0.0	30101.5	170.5	2769.5	69.5	-90855.5	22.5	616.5	5.5	3180.5	10.5	206.5	27.5	18.55	0.25	8.85	0.25	-18.8	2.5	47.7	0.7	-101.2	12.1	-2.2	0.25	0.8	0.25	28.5	2.5	-13.0	1.5	8.0	2.5	294.0	26.0	-11.8	0.7	-160.7	12.1	-0.2	0.0	-2.7	0.2
