Duty cycle (%)	DMM VHigh (mV)	DMM IHigh (mA)	DMM VLow (mV)	DMM ILow (mA)	DMM POWER High (W)	DMM POWER Low (W)	DMM Efficiency (%)	TWIST Duty Cycle (%)	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)	TWIST Power High (W)	TWIST Power Leg 1 (W)	TWIST Power Leg 2 (W)	TWIST Efficiency Leg 1 (%)	TWIST Efficiency Leg 2 (%)	Power High Absolute error (W)	Power Low1 Absolute error (W)	Power Low2 Absolute error (W)	Power High relative error (%)	Power Low1 relative error (%)	Power Low2 relative error (%)	Efficiency Absolute error leg 1 (%)	Efficiency Absolute error leg 2 (%)	Efficiency Relative error leg 1 (%)	Efficiency Relative error leg 2 (%)
5	50031	169	5547	503	8.5	2.8	32.9	5.0	50365.0	4878.0	-90923.0	897.0	6703.0	295.0	45.2	32.7	-26.8	72.3	-59.3	-36.7	-29.9	29.6	-432.0	-1068.0	1057.0	39.4	-92.2	1.2	-2.8
5	50031	169	5547	503	8.5	2.8	32.9	5.0	50365.0	4878.0	-90878.0	874.0	6735.0	281.0	44.0	32.9	-25.5	74.8	-58.0	-35.5	-30.1	28.3	-418.0	-1075.0	1011.0	41.9	-90.9	1.3	-2.8
10	50031	169	5547	503	8.5	2.8	32.9	10.0	50365.0	5574.0	-90878.0	273.0	902.0	374.0	13.7	5.0	-34.0	36.5	-248.2	-5.2	-2.2	36.8	-61.0	-79.0	1314.0	3.6	-281.1	0.1	-8.5
10	50031	169	5547	503	8.5	2.8	32.9	10.0	50229.0	5620.0	-90923.0	273.0	897.0	300.0	13.7	5.0	-27.3	36.5	-199.3	-5.2	-2.2	30.1	-61.0	-79.0	1075.0	3.6	-232.2	0.1	-7.1
15	50030	191	7997	503	9.6	4.0	41.7	15.0	50297.0	8309.0	-90923.0	359.0	1025.0	309.0	18.1	8.5	-28.1	47.0	-155.2	-8.5	-4.5	32.1	-89.0	-112.0	802.0	5.3	-196.9	0.1	-4.7
15	50030	191	7997	503	9.6	4.0	41.7	15.0	50501.0	8031.0	-90923.0	301.0	875.0	286.0	15.2	7.0	-26.0	46.1	-171.1	-5.6	-3.0	30.0	-58.0	-75.0	750.0	4.4	-212.8	0.1	-5.1
5	50033	279	5136	1506	14.0	7.7	55.0	5.0	50910.0	5620.0	-90878.0	342.0	886.0	341.0	17.4	5.0	-31.0	28.7	-178.2	-3.4	2.7	38.7	-24.0	35.0	503.0	-26.3	-233.2	-0.5	-4.2
5	50033	279	5137	1506	14.0	7.7	55.0	5.0	50706.0	5620.0	-90878.0	336.0	940.0	360.0	17.0	5.3	-32.7	31.2	-192.4	-3.0	2.4	40.4	-21.0	31.0	525.0	-23.8	-247.4	-0.4	-4.5
10	50033	279	5137	1506	14.0	7.7	55.0	10.0	50638.0	5157.0	-90923.0	364.0	2135.0	230.0	18.4	11.0	-20.9	59.8	-113.6	-4.4	-3.3	28.6	-31.0	-43.0	371.0	4.8	-168.6	0.1	-3.1
10	50034	279	5137	1506	14.0	7.7	55.0	10.0	50501.0	5110.0	-90923.0	410.0	2006.0	262.0	20.7	10.3	-23.8	49.8	-115.0	-6.7	-2.6	31.5	-48.0	-34.0	409.0	-5.2	-170.0	-0.1	-3.1
