DMM IHigh (mA)	TWIST Duty Cycle	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)
135	50.0	47201.0	24113.0	24439.0	41.0	43.0	155.0
135	50.0	47538.0	23928.0	24255.0	83.0	65.0	161.0
134	50.0	47538.0	24066.0	24393.0	110.0	-6.0	171.0
134	50.0	47673.0	24066.0	24393.0	9.0	86.0	161.0
135	50.0	47403.0	23928.0	24347.0	88.0	-11.0	123.0
135	50.0	47201.0	24159.0	24532.0	62.0	43.0	198.0
135	50.0	47606.0	24020.0	24578.0	51.0	70.0	166.0
134	50.0	47403.0	24020.0	24439.0	-28.0	27.0	177.0
135	50.0	47741.0	23882.0	24255.0	83.0	32.0	118.0
134	50.0	47471.0	24066.0	24347.0	57.0	32.0	129.0
328	50.0	47606.0	23375.0	24347.0	258.0	385.0	129.0
328	50.0	47403.0	23282.0	24347.0	274.0	429.0	113.0
328	50.0	47268.0	23375.0	24439.0	279.0	391.0	86.0
328	50.0	47201.0	23144.0	24255.0	279.0	363.0	134.0
328	50.0	47606.0	23190.0	24532.0	173.0	418.0	86.0
328	50.0	47606.0	23144.0	24347.0	311.0	434.0	107.0
328	50.0	47538.0	23190.0	24255.0	279.0	374.0	145.0
328	50.0	47673.0	23282.0	24301.0	321.0	380.0	177.0
328	50.0	47336.0	23144.0	24347.0	194.0	385.0	161.0
328	50.0	47133.0	23236.0	24393.0	247.0	456.0	102.0
520	50.0	47133.0	22545.0	24255.0	416.0	771.0	102.0
520	50.0	47538.0	22314.0	24439.0	475.0	749.0	107.0
520	50.0	47403.0	22637.0	24347.0	332.0	760.0	54.0
520	50.0	47336.0	22637.0	24255.0	443.0	760.0	155.0
520	50.0	47673.0	22498.0	24439.0	464.0	760.0	118.0
520	50.0	47606.0	22314.0	24578.0	464.0	776.0	44.0
520	50.0	47538.0	22360.0	24163.0	469.0	814.0	118.0
520	50.0	47336.0	22545.0	24347.0	490.0	852.0	129.0
520	50.0	47471.0	22498.0	24209.0	490.0	803.0	123.0
520	50.0	47336.0	22591.0	24393.0	459.0	869.0	123.0
710	50.0	47606.0	22360.0	24255.0	586.0	1135.0	76.0
710	50.0	47471.0	22314.0	24439.0	681.0	1091.0	129.0
710	50.0	47606.0	22406.0	24486.0	570.0	1146.0	145.0
710	50.0	47606.0	22498.0	24532.0	586.0	1097.0	145.0
710	50.0	47471.0	22314.0	24255.0	713.0	1162.0	17.0
710	50.0	47336.0	22637.0	24532.0	660.0	1254.0	76.0
710	50.0	47673.0	22452.0	24209.0	644.0	1189.0	118.0
710	50.0	47336.0	22406.0	24578.0	506.0	1146.0	113.0
710	50.0	47606.0	22498.0	24255.0	623.0	1173.0	123.0
710	50.0	47471.0	22452.0	24439.0	691.0	1205.0	28.0
901	50.0	47471.0	22176.0	24301.0	818.0	1575.0	28.0
901	50.0	47471.0	22314.0	24393.0	787.0	1488.0	60.0
901	50.0	47673.0	22406.0	24347.0	760.0	1499.0	65.0
901	50.0	47336.0	22360.0	24393.0	914.0	1537.0	129.0
901	50.0	47538.0	22222.0	24255.0	787.0	1564.0	129.0
901	50.0	47471.0	22360.0	24347.0	755.0	1520.0	65.0
901	50.0	47268.0	22176.0	24439.0	787.0	1542.0	81.0
