DMM ILow (mA)	TWIST Duty Cycle	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)
101	50.0	47403.0	24020.0	24439.0	131.0	-49.0	161.0
101	50.0	47471.0	24020.0	24439.0	110.0	-55.0	113.0
101	50.0	47336.0	23974.0	24486.0	57.0	-55.0	65.0
101	50.0	47201.0	23974.0	24532.0	72.0	-49.0	177.0
101	50.0	47336.0	24343.0	24347.0	173.0	-49.0	139.0
101	50.0	47606.0	24159.0	24532.0	30.0	-77.0	161.0
101	50.0	47336.0	24297.0	24578.0	83.0	-93.0	123.0
101	50.0	47403.0	24020.0	24393.0	25.0	-6.0	161.0
101	50.0	47606.0	24159.0	24439.0	115.0	-77.0	129.0
101	50.0	47336.0	24020.0	24439.0	104.0	-44.0	113.0
491	50.0	47403.0	22960.0	24301.0	268.0	347.0	92.0
491	50.0	47403.0	23144.0	24347.0	279.0	315.0	113.0
491	50.0	47471.0	23098.0	24255.0	221.0	358.0	150.0
491	50.0	47673.0	22960.0	24117.0	358.0	331.0	134.0
491	50.0	47741.0	22960.0	24301.0	390.0	304.0	155.0
491	50.0	47403.0	23190.0	24393.0	316.0	325.0	22.0
491	50.0	47538.0	23098.0	24301.0	300.0	298.0	22.0
491	50.0	47741.0	23006.0	24301.0	247.0	363.0	81.0
491	50.0	47066.0	22960.0	24255.0	279.0	369.0	150.0
491	50.0	47201.0	23006.0	24117.0	289.0	266.0	86.0
883	50.0	47268.0	22360.0	24163.0	369.0	640.0	1.0
883	50.0	47268.0	22268.0	24439.0	485.0	717.0	76.0
882	50.0	47336.0	22360.0	24071.0	395.0	662.0	102.0
882	50.0	47538.0	22406.0	24255.0	469.0	689.0	33.0
883	50.0	47268.0	22314.0	24071.0	448.0	695.0	7.0
883	50.0	47268.0	22360.0	24301.0	453.0	668.0	92.0
883	50.0	47268.0	22360.0	24255.0	369.0	624.0	33.0
883	50.0	47336.0	22360.0	24393.0	453.0	673.0	166.0
