DMM VHigh (mV)	TWIST Duty Cycle	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)
15040	50.0	12964.0	-1345.0	-1371.0	210.0	-180.0	65.0
15041	50.0	14855.0	-1114.0	-1233.0	41.0	-207.0	12.0
15041	50.0	14923.0	-1391.0	-1279.0	20.0	-223.0	60.0
15041	50.0	14653.0	-1252.0	-1371.0	152.0	-196.0	12.0
15041	50.0	15058.0	-1298.0	-1233.0	120.0	-261.0	17.0
15041	50.0	14990.0	-1160.0	-1233.0	162.0	-185.0	17.0
15041	50.0	15058.0	-1252.0	-1187.0	-60.0	-196.0	-15.0
15041	50.0	14923.0	-1068.0	-1279.0	35.0	-185.0	70.0
15041	50.0	14855.0	-1206.0	-1187.0	88.0	-158.0	-31.0
15040	50.0	14855.0	-1252.0	-1187.0	62.0	-256.0	1.0
19036	50.0	19042.0	-1252.0	-1140.0	72.0	-234.0	17.0
19036	50.0	19042.0	-1114.0	-1325.0	72.0	-196.0	-84.0
19036	50.0	19042.0	-1068.0	-1233.0	125.0	-185.0	38.0
19036	50.0	19109.0	-1252.0	-1233.0	-144.0	-234.0	38.0
19036	50.0	18772.0	-1114.0	-1048.0	-7.0	-223.0	54.0
19036	50.0	18839.0	-1068.0	-1279.0	46.0	-245.0	60.0
19036	50.0	18772.0	-1114.0	-1187.0	94.0	-239.0	76.0
19036	50.0	19109.0	-1252.0	-1233.0	46.0	-218.0	7.0
19036	50.0	18839.0	-1114.0	-1094.0	-60.0	-196.0	33.0
19036	50.0	18569.0	-1298.0	-1279.0	168.0	-185.0	81.0
24055	50.0	24174.0	-1298.0	-1094.0	-81.0	-158.0	17.0
24055	50.0	24039.0	-1252.0	-1233.0	-23.0	-207.0	-68.0
24055	50.0	23769.0	-1160.0	-1233.0	-49.0	-196.0	17.0
24054	50.0	24174.0	-1160.0	-1140.0	20.0	-239.0	-20.0
24055	50.0	23769.0	-1252.0	-1233.0	20.0	-142.0	60.0
24055	50.0	23769.0	-1206.0	-1279.0	78.0	-185.0	-20.0
24055	50.0	24174.0	-1298.0	-1371.0	-12.0	-212.0	-25.0
24055	50.0	24174.0	-1206.0	-1233.0	-49.0	-196.0	-15.0
24054	50.0	23836.0	-1206.0	-1279.0	-17.0	-261.0	-73.0
24055	50.0	23971.0	-1252.0	-1002.0	99.0	-196.0	60.0
28033	50.0	28226.0	-1252.0	-1233.0	-70.0	-278.0	-31.0
28033	50.0	28023.0	-1160.0	-1140.0	-23.0	-201.0	-4.0
28033	50.0	27955.0	-1206.0	-1140.0	-17.0	-212.0	12.0
28033	50.0	27888.0	-1252.0	-1233.0	-12.0	-278.0	1.0
28033	50.0	27888.0	-1252.0	-1371.0	-107.0	-207.0	38.0
28033	50.0	27753.0	-1206.0	-1279.0	94.0	-163.0	-41.0
28033	50.0	27753.0	-1160.0	-1233.0	20.0	-191.0	17.0
28033	50.0	28226.0	-1391.0	-1325.0	-102.0	-250.0	22.0
28033	50.0	27753.0	-1437.0	-1140.0	-86.0	-239.0	60.0
28033	50.0	27820.0	-1298.0	-1371.0	-60.0	-267.0	12.0
32041	50.0	32075.0	-1391.0	-1279.0	-7.0	-196.0	1.0
32041	50.0	32075.0	-1206.0	-1325.0	9.0	-283.0	7.0
32041	50.0	31940.0	-1345.0	-1094.0	20.0	-239.0	-94.0
32041	50.0	31737.0	-1298.0	-1325.0	-65.0	-239.0	-31.0
32041	50.0	31602.0	-1252.0	-1233.0	62.0	-218.0	12.0
32041	50.0	32075.0	-1391.0	-1417.0	-113.0	-223.0	54.0
32041	50.0	31940.0	-1391.0	-1463.0	62.0	-239.0	28.0
32041	50.0	32142.0	-1391.0	-1417.0	9.0	-223.0	-63.0
32041	50.0	31804.0	-1345.0	-1463.0	-97.0	-223.0	-25.0
32041	50.0	31737.0	-1345.0	-1417.0	57.0	-267.0	12.0
36039	50.0	35924.0	-1529.0	-1279.0	14.0	-245.0	38.0
36039	50.0	36059.0	-1206.0	-1279.0	-139.0	-250.0	17.0
36039	50.0	35789.0	-1391.0	-1463.0	-44.0	-218.0	-36.0
36039	50.0	36059.0	-1483.0	-1325.0	-134.0	-153.0	-36.0
36039	50.0	35789.0	-1345.0	-1417.0	-60.0	-153.0	-20.0
36039	50.0	36126.0	-1345.0	-1325.0	-12.0	-305.0	-41.0
36039	50.0	36261.0	-1575.0	-1371.0	-7.0	-272.0	-47.0
36039	50.0	35924.0	-1621.0	-1233.0	-49.0	-201.0	-52.0
36039	50.0	35924.0	-1483.0	-1509.0	46.0	-239.0	-84.0
36039	50.0	35586.0	-1391.0	-1325.0	-65.0	-283.0	33.0
41041	50.0	40583.0	-1483.0	-1371.0	-33.0	-239.0	12.0
41041	50.0	40921.0	-1391.0	-1463.0	-12.0	-256.0	1.0
41041	50.0	40583.0	-1391.0	-1371.0	-118.0	-180.0	33.0
41041	50.0	40988.0	-1345.0	-1325.0	4.0	-131.0	1.0
41040	50.0	40853.0	-1437.0	-1601.0	-107.0	-239.0	7.0
41041	50.0	40718.0	-1529.0	-1279.0	-76.0	-218.0	-41.0
41041	50.0	40718.0	-1529.0	-1417.0	-102.0	-223.0	-4.0
41040	50.0	40718.0	-1621.0	-1233.0	-60.0	-245.0	1.0
41041	50.0	40583.0	-1529.0	-1325.0	-54.0	-267.0	-15.0
41041	50.0	40718.0	-1391.0	-1279.0	-28.0	-207.0	7.0
45055	50.0	44770.0	-1575.0	-1279.0	-76.0	-201.0	17.0
45055	50.0	45242.0	-1391.0	-1371.0	-91.0	-218.0	-9.0
45055	50.0	45040.0	-1621.0	-1417.0	-17.0	-207.0	-63.0
45054	50.0	44702.0	-1437.0	-1325.0	-54.0	-142.0	-41.0
45054	50.0	44837.0	-1575.0	-1371.0	-97.0	-234.0	-36.0
45055	50.0	44702.0	-1345.0	-1233.0	-65.0	-267.0	60.0
45055	50.0	45040.0	-1575.0	-1371.0	-123.0	-256.0	-31.0
45055	50.0	44702.0	-1437.0	-1325.0	46.0	-239.0	33.0
45055	50.0	44635.0	-1483.0	-1555.0	-134.0	-288.0	-31.0
45055	50.0	45040.0	-1391.0	-1463.0	-86.0	-207.0	17.0
49025	50.0	48686.0	-1345.0	-1463.0	-33.0	-207.0	17.0
49025	50.0	49091.0	-1437.0	-1325.0	-134.0	-288.0	-9.0
49025	50.0	49091.0	-1483.0	-1371.0	-17.0	-218.0	1.0
49025	50.0	49294.0	-1483.0	-1325.0	-65.0	-234.0	-9.0
49025	50.0	48551.0	-1483.0	-1371.0	-144.0	-196.0	-4.0
49025	50.0	49159.0	-1437.0	-1279.0	-23.0	-261.0	-4.0
49025	50.0	49091.0	-1391.0	-1325.0	-44.0	-196.0	17.0
49025	50.0	48551.0	-1298.0	-1233.0	-60.0	-261.0	7.0
49025	50.0	48686.0	-1298.0	-1463.0	-60.0	-207.0	-9.0
49025	50.0	49024.0	-1437.0	-1233.0	-91.0	-223.0	7.0
53039	50.0	52805.0	-1483.0	-1371.0	25.0	-261.0	17.0
