DMM VHigh (mV)	DMM VHigh (mV)_stddev	TWIST Duty Cycle	TWIST Duty Cycle_stddev	TWIST VHigh (mV)	TWIST VHigh (mV)_stddev	TWIST VLow1 (mV)	TWIST VLow1 (mV)_stddev	TWIST VLow2 (mV)	TWIST VLow2 (mV)_stddev	TWIST IHigh (mA)	TWIST IHigh (mA)_stddev	TWIST ILow1 (mA)	TWIST ILow1 (mA)_stddev	TWIST ILow2 (mA)	TWIST ILow2 (mA)_stddev	VHigh absolute error (mV)	VHigh absolute error -3*std dev(mV)	VHigh absolute error +3*std dev(mV)	VHigh relative error (%)	VHigh -3*std dev relative error (%)	VHigh +3*std dev relative error (%)
15040.8	0.4	50.0	0.0	14713.4	593.81	-1233.8	95.0	-1256.0	65.86	83.0	75.8	-204.7	31.4	20.8	32.33	327.0	-1454.0	2108.0	2.2	-9.7	14.0
19036.0	0.0	50.0	0.0	18913.5	171.99	-1164.6	83.44	-1205.1	83.2	41.2	86.43	-215.5	21.89	32.0	44.7	122.0	-394.0	638.0	0.6	-2.1	3.4
24054.8	0.4	50.0	0.0	23984.9	175.55	-1229.0	47.14	-1209.7	99.59	-1.4	53.84	-199.2	32.91	-6.7	43.51	70.0	-457.0	597.0	0.3	-1.9	2.5
28033.0	0.0	50.0	0.0	27928.5	171.49	-1261.4	87.14	-1246.5	85.32	-36.3	58.97	-228.6	37.61	8.6	28.33	104.0	-410.0	618.0	0.4	-1.5	2.2
32041.0	0.0	50.0	0.0	31912.7	174.12	-1335.5	61.43	-1343.3	111.39	-6.3	61.28	-235.0	23.7	-9.9	41.77	128.0	-394.0	650.0	0.4	-1.2	2.0
36039.0	0.0	50.0	0.0	35944.1	183.71	-1436.9	118.37	-1352.6	82.8	-45.0	56.3	-231.9	48.69	-22.8	37.77	95.0	-456.0	646.0	0.3	-1.3	1.8
41040.8	0.4	50.0	0.0	40738.3	135.24	-1464.6	82.8	-1366.4	101.72	-58.6	39.7	-220.5	38.15	0.2	18.04	302.0	-104.0	708.0	0.7	-0.3	1.7
45054.8	0.4	50.0	0.0	44871.0	193.92	-1483.0	92.0	-1371.0	87.28	-69.7	49.91	-225.9	38.89	-8.4	36.76	184.0	-398.0	766.0	0.4	-0.9	1.7
49025.0	0.0	50.0	0.0	48922.4	260.25	-1409.2	69.17	-1338.8	77.11	-67.1	41.49	-229.1	29.76	1.4	9.66	103.0	-678.0	884.0	0.2	-1.4	1.8
53038.9	0.3	50.0	0.0	52832.2	163.25	-1432.3	78.43	-1334.2	57.45	-35.8	32.1	-228.5	31.08	23.5	33.18	207.0	-283.0	697.0	0.4	-0.5	1.3
58038.0	0.0	50.0	0.0	57714.6	145.02	-1390.8	65.34	-1366.4	52.25	-82.0	39.67	-231.2	39.89	-9.4	31.93	323.0	-112.0	758.0	0.6	-0.2	1.3
62053.0	0.0	50.0	0.0	61854.0	230.01	-1436.9	84.98	-1352.6	77.52	-59.8	47.8	-215.5	31.62	-7.1	41.63	199.0	-491.0	889.0	0.3	-0.8	1.4
66044.7	0.46	50.0	0.0	65892.2	197.57	-1381.6	61.37	-1256.0	55.39	-72.9	36.77	-230.3	34.28	-21.9	33.08	152.0	-441.0	745.0	0.2	-0.7	1.1
70023.1	0.3	50.0	0.0	70166.7	222.77	-1247.8	91.15	-1177.3	116.48	-28.5	49.8	-193.4	34.1	-7.4	42.26	-144.0	-812.0	524.0	-0.2	-1.2	0.7
75041.1	0.3	50.0	0.0	75109.6	219.91	-1178.4	87.76	-1062.0	96.95	-10.1	57.18	-198.2	41.65	15.6	35.72	-68.0	-728.0	592.0	-0.1	-1.0	0.8
79037.9	0.3	50.0	0.0	79140.8	245.54	-1192.3	109.13	-1117.2	69.33	-3.6	52.99	-212.2	28.67	54.7	39.53	-103.0	-840.0	634.0	-0.1	-1.1	0.8
83052.9	0.3	50.0	0.0	83057.4	124.63	-1363.2	80.48	-1195.7	116.4	-41.3	50.85	-242.3	45.58	9.2	25.71	-4.0	-378.0	370.0	-0.0	-0.5	0.4
87048.0	0.0	50.0	0.0	86974.1	209.27	-1423.1	62.09	-1274.3	75.62	-66.0	49.32	-235.1	38.57	-1.0	24.5	74.0	-554.0	702.0	0.1	-0.6	0.8
92024.0	0.0	50.0	0.0	92005.0	189.13	-1418.3	103.66	-1242.1	57.71	-76.9	36.16	-246.5	33.54	-21.6	25.33	19.0	-548.0	586.0	0.0	-0.6	0.6
96033.3	0.46	50.0	0.0	95887.6	215.77	-1436.9	103.04	-1209.9	97.25	-46.0	40.85	-208.4	29.48	-11.6	37.21	146.0	-501.0	793.0	0.2	-0.5	0.8
