DMM VLow (mV)	TWIST Duty Cycle	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)
3874	5.0	96360.0	3037.0	6833.0	-7.0	-55.0	-259.0
3873	5.0	95888.0	3175.0	6879.0	57.0	418.0	-551.0
3872	5.0	96360.0	2991.0	6879.0	57.0	581.0	-424.0
3873	5.0	95685.0	2944.0	6833.0	94.0	635.0	-450.0
3874	5.0	96360.0	3037.0	6971.0	9.0	499.0	-408.0
3874	5.0	96023.0	3037.0	6695.0	-60.0	65.0	-328.0
3874	5.0	95753.0	3129.0	6787.0	125.0	602.0	-403.0
3874	5.0	95753.0	2944.0	6879.0	46.0	505.0	-376.0
3873	5.0	96090.0	2806.0	6741.0	147.0	575.0	-328.0
3874	5.0	96225.0	3037.0	6833.0	30.0	570.0	-387.0
8443	10.0	95685.0	7787.0	11073.0	99.0	554.0	-318.0
8443	10.0	95753.0	7971.0	11258.0	152.0	434.0	-264.0
8443	10.0	95685.0	7879.0	11396.0	136.0	65.0	-286.0
8444	10.0	95820.0	7879.0	11350.0	231.0	581.0	-307.0
8444	10.0	96023.0	7971.0	11350.0	120.0	325.0	-349.0
8443	10.0	95617.0	7971.0	11258.0	242.0	472.0	-302.0
8443	10.0	95685.0	7925.0	11212.0	157.0	494.0	-328.0
8442	10.0	95482.0	7602.0	11442.0	199.0	510.0	-334.0
8443	10.0	95550.0	8063.0	11350.0	78.0	434.0	-243.0
8443	10.0	95955.0	7879.0	11212.0	104.0	358.0	-286.0
13108	15.0	96023.0	12583.0	16189.0	289.0	564.0	-185.0
13108	15.0	95685.0	12721.0	15913.0	247.0	488.0	-211.0
13108	15.0	95482.0	12768.0	16235.0	184.0	564.0	-137.0
13108	15.0	95212.0	12537.0	16097.0	173.0	440.0	-116.0
13109	15.0	95753.0	12860.0	16097.0	221.0	499.0	-110.0
13110	15.0	95347.0	12768.0	16005.0	168.0	467.0	-110.0
13109	15.0	96023.0	12768.0	16097.0	221.0	532.0	-179.0
13108	15.0	95617.0	12629.0	16189.0	173.0	554.0	-25.0
13108	15.0	95955.0	12814.0	16051.0	268.0	450.0	-126.0
13109	15.0	95550.0	12721.0	15959.0	247.0	461.0	-148.0
17883	20.0	95550.0	17379.0	20706.0	289.0	619.0	-68.0
17884	20.0	95753.0	17656.0	20844.0	205.0	613.0	-31.0
17884	20.0	95482.0	17748.0	20891.0	263.0	581.0	-57.0
17883	20.0	95753.0	17656.0	20937.0	326.0	516.0	-4.0
17882	20.0	95820.0	17564.0	20891.0	194.0	575.0	-63.0
17882	20.0	95820.0	17564.0	20891.0	268.0	586.0	-84.0
17881	20.0	95482.0	17472.0	21029.0	284.0	640.0	76.0
17882	20.0	95617.0	17472.0	20891.0	289.0	602.0	-9.0
17882	20.0	95550.0	17702.0	20891.0	205.0	662.0	-4.0
17882	20.0	95550.0	17564.0	21029.0	263.0	608.0	-68.0
23007	25.0	95482.0	22545.0	25868.0	311.0	602.0	76.0
23007	25.0	95145.0	22545.0	25776.0	316.0	673.0	17.0
23006	25.0	95280.0	22683.0	25868.0	321.0	581.0	145.0
23006	25.0	95617.0	22775.0	25592.0	326.0	717.0	118.0
23006	25.0	95888.0	22683.0	25822.0	295.0	635.0	107.0
23006	25.0	95280.0	22498.0	25822.0	295.0	700.0	22.0
23006	25.0	95212.0	22545.0	25914.0	247.0	608.0	81.0
