DMM ILow (mA)	TWIST Duty Cycle	TWIST VHigh (quantum)	TWIST VLow1 (quantum)	TWIST VLow2 (quantum)	TWIST IHigh (quantum)	TWIST ILow1 (quantum)	TWIST ILow2 (quantum)
101.0	0.5	700.0	2543.0	2375.0	1920.0	2037.0	1987.0
101.0	0.5	703.0	2543.0	2378.0	1926.0	2033.0	1990.0
101.0	0.5	704.0	2546.0	2381.0	1939.0	2052.0	2001.0
101.0	0.5	701.0	2545.0	2378.0	1919.0	2046.0	1987.0
101.0	0.5	703.0	2548.0	2378.0	1914.0	2015.0	1985.0
1956.0	0.5	703.0	2543.0	2343.0	2096.0	2041.0	2341.0
1956.0	0.5	701.0	2546.0	2339.0	2073.0	2043.0	2333.0
1956.0	0.5	700.0	2546.0	2344.0	2086.0	2022.0	2361.0
1957.0	0.5	701.0	2549.0	2344.0	2072.0	2025.0	2334.0
1956.0	0.5	706.0	2545.0	2344.0	2080.0	2025.0	2334.0
3812.0	0.5	708.0	2548.0	2337.0	2272.0	2029.0	2676.0
3812.0	0.5	707.0	2547.0	2334.0	2270.0	2033.0	2682.0
3812.0	0.5	707.0	2543.0	2333.0	2261.0	2029.0	2689.0
3812.0	0.5	709.0	2546.0	2336.0	2265.0	2030.0	2686.0
3812.0	0.5	703.0	2546.0	2337.0	2251.0	2024.0	2678.0
5667.0	0.5	710.0	2543.0	2330.0	2433.0	2020.0	3029.0
5668.0	0.5	708.0	2547.0	2325.0	2434.0	2034.0	3010.0
5668.0	0.5	703.0	2545.0	2327.0	2439.0	2031.0	3011.0
5668.0	0.5	708.0	2545.0	2331.0	2441.0	2036.0	2999.0
5668.0	0.5	707.0	2548.0	2329.0	2421.0	2033.0	3006.0
7523.0	0.5	705.0	2539.0	2324.0	2594.0	2031.0	3357.0
7523.0	0.5	704.0	2543.0	2325.0	2584.0	2026.0	3361.0
7524.0	0.5	714.0	2542.0	2326.0	2594.0	2037.0	3354.0
7524.0	0.5	710.0	2543.0	2321.0	2612.0	2037.0	3347.0
7524.0	0.5	703.0	2545.0	2325.0	2606.0	2012.0	3362.0
