DMM IHigh (mA)	TWIST Duty Cycle	TWIST VHigh (quantum)	TWIST VLow1 (quantum)	TWIST VLow2 (quantum)	TWIST IHigh (quantum)	TWIST ILow1 (quantum)	TWIST ILow2 (quantum)
127.0	0.5	699.0	2538.0	2547.0	1920.0	2043.0	1976.0
127.0	0.5	701.0	2543.0	2542.0	1915.0	2056.0	1973.0
127.0	0.5	704.0	2539.0	2539.0	1942.0	2047.0	1976.0
127.0	0.5	700.0	2538.0	2549.0	1922.0	2060.0	1966.0
127.0	0.5	701.0	2543.0	2547.0	1916.0	2058.0	1960.0
1038.0	0.5	695.0	2501.0	2543.0	2106.0	2389.0	1965.0
1038.0	0.5	706.0	2504.0	2548.0	2091.0	2400.0	1963.0
1038.0	0.5	702.0	2501.0	2545.0	2107.0	2396.0	1964.0
1038.0	0.5	701.0	2499.0	2545.0	2082.0	2397.0	1977.0
1038.0	0.5	699.0	2503.0	2546.0	2088.0	2395.0	1973.0
1940.0	0.5	700.0	2497.0	2546.0	2267.0	2730.0	1963.0
1940.0	0.5	703.0	2501.0	2542.0	2283.0	2739.0	1971.0
1940.0	0.5	701.0	2503.0	2544.0	2257.0	2728.0	1958.0
1940.0	0.5	701.0	2500.0	2542.0	2257.0	2730.0	1966.0
1940.0	0.5	702.0	2500.0	2545.0	2278.0	2745.0	1948.0
2839.0	0.5	696.0	2491.0	2542.0	2442.0	3088.0	1953.0
2839.0	0.5	697.0	2494.0	2547.0	2458.0	3083.0	1940.0
2840.0	0.5	703.0	2493.0	2540.0	2434.0	3082.0	1948.0
2840.0	0.5	702.0	2493.0	2540.0	2435.0	3075.0	1951.0
2840.0	0.5	698.0	2499.0	2549.0	2438.0	3070.0	1946.0
3738.0	0.5	694.0	2491.0	2538.0	2620.0	3414.0	1928.0
3738.0	0.5	698.0	2491.0	2544.0	2615.0	3428.0	1928.0
3739.0	0.5	694.0	2489.0	2546.0	2630.0	3413.0	1936.0
3739.0	0.5	701.0	2487.0	2542.0	2618.0	3418.0	1928.0
3739.0	0.5	699.0	2490.0	2545.0	2599.0	3417.0	1919.0
