DMM VLow (mV)	TWIST Duty Cycle	TWIST VHigh (quantum)	TWIST VLow1 (quantum)	TWIST VLow2 (quantum)	TWIST IHigh (quantum)	TWIST ILow1 (quantum)	TWIST ILow2 (quantum)
8469.0	0.05	1406.0	2187.0	2264.0	1946.0	2262.0	2033.0
8469.0	0.05	1405.0	2190.0	2261.0	1953.0	2260.0	2018.0
8470.0	0.05	1405.0	2188.0	2267.0	1952.0	2250.0	2012.0
8470.0	0.05	1406.0	2187.0	2265.0	1939.0	2256.0	2021.0
8470.0	0.05	1408.0	2194.0	2264.0	1928.0	2252.0	2021.0
8470.0	0.1	1410.0	2188.0	2263.0	1933.0	2261.0	1998.0
8470.0	0.1	1411.0	2189.0	2265.0	1940.0	2244.0	2020.0
8470.0	0.1	1410.0	2189.0	2263.0	1939.0	2256.0	2020.0
8470.0	0.1	1412.0	2191.0	2261.0	1953.0	2248.0	2008.0
8470.0	0.1	1405.0	2186.0	2263.0	1938.0	2261.0	2008.0
13137.0	0.15	1412.0	2295.0	2359.0	1952.0	2253.0	1993.0
13137.0	0.15	1406.0	2287.0	2367.0	1948.0	2246.0	2003.0
13138.0	0.15	1414.0	2287.0	2365.0	1966.0	2266.0	2004.0
13138.0	0.15	1400.0	2291.0	2367.0	1950.0	2257.0	2003.0
13138.0	0.15	1405.0	2293.0	2362.0	1962.0	2249.0	2002.0
17913.0	0.2	1417.0	2395.0	2467.0	1959.0	2261.0	1987.0
17913.0	0.2	1409.0	2395.0	2471.0	1969.0	2251.0	2000.0
17913.0	0.2	1406.0	2395.0	2463.0	1968.0	2247.0	1989.0
17913.0	0.2	1413.0	2397.0	2467.0	1969.0	2241.0	2003.0
17913.0	0.2	1413.0	2394.0	2469.0	1963.0	2249.0	1997.0
23046.0	0.25	1409.0	2506.0	2566.0	1974.0	2232.0	1974.0
23047.0	0.25	1414.0	2504.0	2568.0	1968.0	2232.0	2014.0
23046.0	0.25	1410.0	2506.0	2564.0	1976.0	2244.0	1980.0
23047.0	0.25	1416.0	2510.0	2568.0	1978.0	2238.0	1984.0
23047.0	0.25	1408.0	2506.0	2570.0	1968.0	2237.0	1998.0
28240.0	0.3	1418.0	2625.0	2676.0	1986.0	2231.0	1987.0
28241.0	0.3	1413.0	2621.0	2670.0	1982.0	2233.0	1980.0
28241.0	0.3	1410.0	2620.0	2674.0	1994.0	2230.0	1981.0
28242.0	0.3	1415.0	2619.0	2674.0	1976.0	2230.0	1995.0
28242.0	0.3	1414.0	2622.0	2673.0	1976.0	2235.0	1989.0
