DMM VHigh (mV)	TWIST Duty Cycle	TWIST VHigh (quantum)	TWIST VLow1 (quantum)	TWIST VLow2 (quantum)	TWIST IHigh (quantum)	TWIST ILow1 (quantum)	TWIST ILow2 (quantum)
15041.0	0.5	207.0	2165.0	2094.0	2026.0	2060.0	2176.0
15041.0	0.5	209.0	2169.0	2090.0	2038.0	2068.0	2192.0
15041.0	0.5	215.0	2167.0	2092.0	2034.0	2049.0	2167.0
15041.0	0.5	210.0	2170.0	2093.0	2021.0	2048.0	2182.0
15041.0	0.5	207.0	2167.0	2089.0	2041.0	2051.0	2193.0
35041.0	0.5	501.0	2391.0	2235.0	2018.0	2045.0	2164.0
35041.0	0.5	508.0	2396.0	2236.0	2013.0	2050.0	2166.0
35040.0	0.5	512.0	2398.0	2232.0	1999.0	2046.0	2174.0
35040.0	0.5	510.0	2404.0	2230.0	2010.0	2033.0	2178.0
35040.0	0.5	513.0	2396.0	2235.0	2013.0	2057.0	2171.0
56047.0	0.5	821.0	2634.0	2409.0	2000.0	2035.0	2165.0
56047.0	0.5	820.0	2637.0	2410.0	1985.0	2020.0	2178.0
56047.0	0.5	821.0	2637.0	2407.0	2015.0	2020.0	2159.0
56047.0	0.5	827.0	2635.0	2405.0	1997.0	2034.0	2165.0
56047.0	0.5	825.0	2638.0	2408.0	2007.0	2026.0	2168.0
76047.0	0.5	1120.0	2863.0	2599.0	2009.0	2020.0	2150.0
76048.0	0.5	1130.0	2863.0	2594.0	2010.0	2024.0	2131.0
76048.0	0.5	1126.0	2866.0	2602.0	2011.0	2012.0	2157.0
76048.0	0.5	1119.0	2860.0	2603.0	2007.0	2015.0	2148.0
76048.0	0.5	1119.0	2863.0	2603.0	2015.0	2013.0	2169.0
96046.0	0.5	1426.0	3091.0	2818.0	2007.0	1997.0	2116.0
96047.0	0.5	1423.0	3094.0	2823.0	2004.0	1996.0	2142.0
96046.0	0.5	1422.0	3093.0	2824.0	2011.0	2001.0	2127.0
96047.0	0.5	1430.0	3089.0	2829.0	2005.0	2005.0	2126.0
96046.0	0.5	1421.0	3086.0	2807.0	1994.0	2005.0	2134.0
