Duty cycle (%)	DMM VHigh (mV)	DMM IHigh (mA)	DMM VLow (mV)	DMM ILow (mA)	DMM POWER High (W)	DMM POWER Low (W)	DMM Efficiency (%)	TWIST Duty Cycle (%)	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)	TWIST Power High (W)	TWIST Power Leg 1 (W)	TWIST Power Leg 2 (W)	TWIST Efficiency Leg 1 (%)	TWIST Efficiency Leg 2 (%)	Power High Absolute error (W)	Power Low1 Absolute error (W)	Power Low2 Absolute error (W)	Power High relative error (%)	Power Low1 relative error (%)	Power Low2 relative error (%)	Efficiency Absolute error leg 1 (%)	Efficiency Absolute error leg 2 (%)	Efficiency Relative error leg 1 (%)	Efficiency Relative error leg 2 (%)
5	48018	116	2267	503	5.6	1.1	19.6	5.0	47471.0	-238.0	2132.0	221.0	3932.0	-217.0	10.5	-0.9	-0.5	-8.6	-4.8	-4.9	2.0	1.6	-88.0	182.0	145.0	-28.2	-24.4	-1.4	-1.2
5	48018	116	2267	503	5.6	1.1	19.6	5.0	47471.0	-284.0	2362.0	199.0	3862.0	-328.0	9.4	-1.1	-0.8	-11.7	-8.5	-3.8	2.2	1.9	-68.0	200.0	173.0	-31.3	-28.1	-1.6	-1.4
5	48018	116	2267	503	5.6	1.1	19.6	5.0	47741.0	-330.0	2316.0	385.0	3873.0	-365.0	18.4	-1.3	-0.8	-7.1	-4.3	-12.8	2.4	1.9	-229.0	218.0	173.0	-26.7	-23.9	-1.4	-1.2
5	48018	116	2267	503	5.6	1.1	19.6	5.0	47741.0	-330.0	2270.0	226.0	3943.0	-302.0	10.8	-1.3	-0.7	-12.0	-6.5	-5.2	2.4	1.8	-93.0	218.0	164.0	-31.6	-26.1	-1.6	-1.3
5	48018	116	2267	503	5.6	1.1	19.6	5.0	47673.0	-514.0	2501.0	94.0	4003.0	-259.0	4.5	-2.1	-0.6	-46.7	-13.3	1.1	3.2	1.7	20.0	291.0	155.0	-66.3	-32.9	-3.4	-1.7
10	48017	133	4477	503	6.4	2.3	35.9	10.0	47403.0	3175.0	4667.0	72.0	21.0	-339.0	3.4	0.1	-1.6	2.9	-47.1	3.0	2.2	3.9	47.0	96.0	170.0	-33.0	-83.0	-0.9	-2.3
10	48017	133	4477	503	6.4	2.3	35.9	10.0	47268.0	3175.0	4529.0	125.0	86.0	-328.0	5.9	0.3	-1.5	5.1	-25.4	0.5	2.0	3.8	8.0	87.0	165.0	-30.8	-61.3	-0.9	-1.7
10	48018	133	4477	503	6.4	2.3	35.9	10.0	47268.0	3267.0	4575.0	72.0	43.0	-217.0	3.4	0.1	-1.0	2.9	-29.4	3.0	2.2	3.3	47.0	96.0	143.0	-33.0	-65.3	-0.9	-1.8
10	48018	133	4477	503	6.4	2.3	35.9	10.0	47268.0	3175.0	4344.0	57.0	21.0	-195.0	2.7	0.1	-0.8	3.7	-29.6	3.7	2.2	3.1	58.0	96.0	135.0	-32.2	-65.5	-0.9	-1.8
10	48018	133	4477	503	6.4	2.3	35.9	10.0	47538.0	3267.0	4759.0	62.0	-6.0	-270.0	2.9	-0.0	-1.3	-0.0	-44.8	3.5	2.3	3.6	55.0	100.0	157.0	-35.9	-80.7	-1.0	-2.2
15	48015	154	6768	503	7.4	3.4	45.9	15.0	47201.0	5619.0	7110.0	57.0	76.0	-142.0	2.7	0.4	-1.0	14.8	-37.0	4.7	3.0	4.4	64.0	88.0	129.0	-31.1	-82.9	-0.7	-1.8
15	48015	154	6768	503	7.4	3.4	45.9	15.0	47201.0	5481.0	7110.0	78.0	81.0	-94.0	3.7	0.4	-0.7	10.8	-18.9	3.7	3.0	4.1	50.0	88.0	121.0	-35.1	-64.8	-0.8	-1.4
15	48015	154	6768	503	7.4	3.4	45.9	15.0	47606.0	5250.0	6971.0	14.0	97.0	-132.0	0.7	0.5	-0.9	71.4	-128.6	6.7	2.9	4.3	91.0	85.0	126.0	25.5	-174.5	0.6	-3.8
15	48015	154	6768	503	7.4	3.4	45.9	15.0	46931.0	5527.0	7156.0	-2.0	97.0	-243.0	-0.1	0.5	-1.7	-500.0	1700.0	7.5	2.9	5.1	101.0	85.0	150.0	-545.9	1654.1	-11.9	36.0
15	48015	154	6768	503	7.4	3.4	45.9	15.0	47741.0	5573.0	7110.0	78.0	-33.0	-174.0	3.7	-0.2	-1.2	-5.4	-32.4	3.7	3.6	4.6	50.0	106.0	135.0	-51.3	-78.3	-1.1	-1.7
20	48013	179	9149	502	8.6	4.6	53.5	20.0	47538.0	7925.0	9414.0	210.0	119.0	-100.0	10.0	0.9	-0.9	9.0	-9.0	-1.4	3.7	5.5	-16.0	80.0	120.0	-44.5	-62.5	-0.8	-1.2
20	48013	179	9148	502	8.6	4.6	53.5	20.0	47201.0	7833.0	9414.0	30.0	65.0	-121.0	1.4	0.5	-1.1	35.7	-78.6	7.2	4.1	5.7	84.0	89.0	124.0	-17.8	-132.1	-0.3	-2.5
