Duty cycle (%)	Duty cycle (%)_stddev	DMM VHigh (mV)	DMM VHigh (mV)_stddev	DMM IHigh (mA)	DMM IHigh (mA)_stddev	DMM VLow (mV)	DMM VLow (mV)_stddev	DMM ILow (mA)	DMM ILow (mA)_stddev	DMM POWER High (W)	DMM POWER High (W)_stddev	DMM POWER Low (W)	DMM POWER Low (W)_stddev	DMM Efficiency (%)	DMM Efficiency (%)_stddev	TWIST Duty Cycle (%)	TWIST Duty Cycle (%)_stddev	TWIST VHigh (mV)	TWIST VHigh (mV)_stddev	TWIST VLow1 (mV)	TWIST VLow1 (mV)_stddev	TWIST VLow2 (mV)	TWIST VLow2 (mV)_stddev	TWIST IHigh (mA)	TWIST IHigh (mA)_stddev	TWIST ILow1 (mA)	TWIST ILow1 (mA)_stddev	TWIST ILow2 (mA)	TWIST ILow2 (mA)_stddev	TWIST Power High (W)	TWIST Power High (W)_stddev	TWIST Power Leg 1 (W)	TWIST Power Leg 1 (W)_stddev	TWIST Power Leg 2 (W)	TWIST Power Leg 2 (W)_stddev	TWIST Efficiency Leg 1 (%)	TWIST Efficiency Leg 1 (%)_stddev	TWIST Efficiency Leg 2 (%)	TWIST Efficiency Leg 2 (%)_stddev	Power High Absolute error (W)	Power High Absolute error (W)_stddev	Power Low1 Absolute error (W)	Power Low1 Absolute error (W)_stddev	Power Low2 Absolute error (W)	Power Low2 Absolute error (W)_stddev	Power High relative error (%)	Power High relative error (%)_stddev	Power Low1 relative error (%)	Power Low1 relative error (%)_stddev	Power Low2 relative error (%)	Power Low2 relative error (%)_stddev	Efficiency Absolute error leg 1 (%)	Efficiency Absolute error leg 1 (%)_stddev	Efficiency Absolute error leg 2 (%)	Efficiency Absolute error leg 2 (%)_stddev	Efficiency Relative error leg 1 (%)	Efficiency Relative error leg 1 (%)_stddev	Efficiency Relative error leg 2 (%)	Efficiency Relative error leg 2 (%)_stddev
5.0	0.0	48018.0	0.0	116.0	0.0	2267.0	0.0	503.0	0.0	5.6	0.0	1.1	0.0	19.6	0.0	5.0	0.0	47619.4	123.69	-339.2	93.82	2316.2	120.26	225.0	93.22	3922.6	51.19	-294.2	51.8	10.72	4.46	-1.34	0.41	-0.68	0.12	-17.22	14.86	-7.48	3.26	-5.1	4.46	2.4	0.41	1.8	0.12	-91.0	79.88	218.0	37.09	164.0	10.81	-36.82	14.86	-27.08	3.26	-1.88	0.77	-1.36	0.19
10.0	0.0	48017.6	0.49	133.0	0.0	4477.0	0.0	503.0	0.0	6.4	0.0	2.3	0.0	35.9	0.0	10.0	0.0	47349.0	108.0	3211.8	45.07	4574.8	139.85	77.6	24.4	33.0	30.72	-269.8	57.55	3.66	1.15	0.12	0.1	-1.24	0.3	2.92	1.67	-35.26	8.89	2.7	1.15	2.2	0.1	3.5	0.3	42.0	18.03	96.0	4.29	152.0	13.18	-32.98	1.67	-71.16	8.89	-0.92	0.04	-1.96	0.24
15.0	0.0	48015.0	0.0	154.0	0.0	6768.0	0.0	503.0	0.0	7.4	0.0	3.4	0.0	45.9	0.0	15.0	0.0	47336.0	295.77	5490.0	128.51	7091.4	62.78	45.0	33.14	63.6	49.03	-157.0	50.01	2.14	1.57	0.32	0.26	-1.1	0.34	-81.68	210.76	296.62	702.77	5.3	1.57	3.1	0.26	4.5	0.34	72.0	21.12	91.0	7.91	132.0	9.99	-127.58	210.76	250.72	702.77	-2.78	4.6	5.46	15.29
20.0	0.0	48013.0	0.0	179.0	0.0	9148.8	0.4	502.0	0.0	8.6	0.0	4.6	0.0	53.5	0.0	20.0	0.0	47349.2	130.87	7897.4	55.2	9358.8	67.61	104.2	65.0	77.6	51.67	-102.0	23.59	4.96	3.1	0.62	0.4	-0.94	0.23	14.76	13.35	-30.12	24.78	3.6	3.1	4.0	0.4	5.5	0.23	42.0	36.01	87.0	8.64	120.0	5.04	-38.74	13.35	-83.62	24.78	-0.72	0.26	-1.56	0.48
25.0	0.0	48014.0	0.0	204.0	0.0	11651.8	0.4	503.0	0.0	9.8	0.0	5.9	0.0	60.2	0.0	25.0	0.0	47281.6	172.76	10360.4	74.05	11811.0	100.78	105.4	74.7	185.2	24.69	-59.4	43.26	4.98	3.53	1.92	0.28	-0.68	0.52	146.6	214.94	-57.48	96.76	4.8	3.53	4.0	0.28	6.6	0.52	49.0	36.04	68.0	4.63	112.0	8.85	86.4	214.94	-117.68	96.76	1.46	3.58	-1.98	1.62
30.0	0.0	48015.0	0.0	230.0	0.0	14152.0	0.0	503.0	0.0	11.0	0.0	7.1	0.0	64.5	0.0	30.0	0.0	47214.2	130.66	12998.2	123.8	14263.0	79.51	160.4	47.95	175.6	47.45	23.6	37.41	7.56	2.22	2.28	0.63	0.32	0.53	35.0	16.84	6.8	10.34	3.4	2.22	4.8	0.63	6.8	0.53	31.0	19.89	68.0	8.91	96.0	7.39	-29.5	16.84	-57.7	10.34	-0.44	0.27	-0.88	0.16
35.0	0.0	48015.2	0.4	257.0	0.0	16634.0	0.0	502.4	0.49	12.3	0.0	8.4	0.0	68.3	0.0	35.0	0.0	47349.4	137.54	15414.8	122.52	16604.0	92.0	170.8	53.71	246.2	42.47	20.4	56.04	8.08	2.52	3.8	0.67	0.32	0.94	54.54	26.24	9.26	19.08	4.2	2.52	4.6	0.67	8.1	0.94	34.0	20.62	55.0	8.07	96.0	11.3	-13.76	26.24	-59.04	19.08	-0.18	0.4	-0.86	0.26
40.0	0.0	48015.0	0.0	283.0	0.0	19089.8	0.4	502.4	0.49	13.6	0.0	9.6	0.0	70.6	0.0	40.0	0.0	47093.0	198.41	17932.8	87.6	19047.0	76.97	196.4	27.98	302.6	26.51	44.8	31.76	9.26	1.29	5.42	0.45	0.82	0.59	60.14	12.23	8.4	6.76	4.3	1.29	4.2	0.45	8.8	0.59	32.0	9.39	44.0	4.49	92.0	6.15	-10.46	12.23	-62.2	6.76	-0.16	0.19	-0.9	0.11
45.0	0.0	48014.0	0.0	309.0	0.0	21522.0	0.0	502.2	0.4	14.8	0.0	10.8	0.0	73.0	0.0	45.0	0.0	47146.6	173.07	20275.8	45.07	21370.0	95.19	210.0	31.98	299.4	57.94	55.6	15.29	9.92	1.5	6.08	1.17	1.18	0.33	61.94	10.78	11.88	2.91	4.9	1.5	4.7	1.17	9.6	0.33	33.0	10.07	44.0	10.65	89.0	3.31	-11.06	10.78	-61.12	2.91	-0.16	0.14	-0.84	0.05
50.0	0.0	48015.0	0.0	334.0	0.0	23928.0	0.0	502.0	0.0	16.0	0.0	12.0	0.0	75.0	0.0	50.0	0.0	46971.0	139.28	22655.4	46.91	23840.2	109.19	213.4	67.09	309.2	52.29	59.6	46.63	10.02	3.16	7.0	1.17	1.4	1.1	78.06	31.52	15.98	13.98	6.0	3.16	5.0	1.17	10.6	1.1	38.0	19.76	42.0	10.13	88.0	9.16	3.06	31.52	-59.02	13.98	0.02	0.43	-0.8	0.18
